Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S
Antigua and Barbuda,All,Reexports,Tonnes – net product weight,TPW,0,...,0,N,3,,0,...,21,,13,,0,...,0,...,0,N,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,12,,4,,0,...,0,...,0,...,0,...,0,N,0,...,5,,0,...,0,N,1,,0,N,0,N,1,,12,,3,,2,,2,,0,N,1.18,,1.1,E,0,...
Argentina,All,Exports,Tonnes – net product weight,TPW,105437,,159923,,210841,,239982,,168434,,149919,,235151,,185951,,130343,,147362,,199615,,235018,,207027,,224278,,255259,,309889,,273701,,476799,,536957,,582840,,671904,,688187,,604601,,599485,,539039,,452179,,450328,,486184,,494128,,494049,,627524,,540700,,560352,,481360,,457153,,456016,,429979,,489677,,495948,,459987,,444963,,475740,,479044,,464376.25,,481782.88,,497604.72,
Argentina,All,Imports,Tonnes – net product weight,TPW,831,,9664,,9295,,14855,,15466,,14525,,12467,,9116,,13594,,10247,E,12650,E,24853,,15837,,12913,,4698,,15936,,24408,,20711,,26940,,26777,,27383,,33388,,32691,,36678,,42882,,44494,,9267,,19212,,29430,,35491,,37345,,43724,,35734,,33326,,41760,,46848,,45030,,42036,,36798,,47605,,48900,,50012,,49688,,39631.14,,44315.49,,49922.9,
Armenia,All,Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,59,,0,...,14,,52,E,320,,31,,102,,444,,789,,872,,847,,1048,,867,,987,,662,,1332,,2659,,3933,,6887,,6180,,4593,,4071,,3887,,4577,,5687.76,,10913.24,,11076.48,
Armenia,All,Imports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,287,E,751,,237,,392,,1043,E,1590,,2640,,2465.58,,3366,,2957,,4454,,9547,,4976.04,,4038,,4979.07,,4756,,3320.78,,4862.12,,5280.01,,4844.12,,4513.01,,3420.93,,3343.71,,4368.73,,3495.62,,4410.5,,6263.88,,8535.06,
Armenia,All,Reexports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,37,,30,,0,...,0,N,35,,16,,1,,12,,26,,0,...,0,...,18,,27,,0,...,0,...,0,...,0,...,0,...,0.24,,0,...,0,...
Aruba,All,Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,8,,112,E,257,,672,,18,,11,,18,,4,,5,E,4,E,5,E,0,...,0,...,73,E,0,...,166,,81,,110,,335,,242,,190,,106,,13,,10,,4,,2,,3,,0,N,0,N,23,,1,E,5,,20,,56,,32,,8.21,,0.19,,1.4,
Aruba,All,Imports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,919,,1462,E,2433,,1602,,1125,,1499,,1184,,1242,,1370,E,1976,E,2568,E,3782,,4072,,3967,,4111,,1674,,1705,,1575,,1630,,1959,,2013,,1782,,2188,,2021,,2145,,2387,,2316,,2118,,2683,,2602,,2770,,3141,,3235,,3255,,3324,,3246.14,,2122.68,,2544.51,
Australia,All,Exports,Tonnes – net product weight,TPW,24169,,29216,,26429,,30044,,42484,,31781,,43352,,45143,,41155,,32978,,33960,,37916,,41100,,36412,,46932,,52850,,50828,,55394,,64375,,72084,,69512,,77160,,81454,,83405,,81572,,91148,,84118,,75493,,73345,,67901,,67916,,50804,,51634,,50468,,49742,,46931,,41733,,42524,,47435,,61410,,66399,,57351,,51795,,55450.1,,64726.05,,66134.08,
Australia,All,Imports,Tonnes – net product weight,TPW,63318,,70072,,60796,,59869,,82251,,83343,,83972,,80725,,93435,,105008,,95365,,102460,,103203,,124411,,135171,,113447,,134309,,124981,,188737,E,156253,,189731,,199591,,184704,,235529,,277228,,262686,,265403,,252107,,280097,,269127,,295911,,292753,,302135,,282273,,277707,,277076,,304205,,309581,,324498,,302477,,308495,,298985,,301620,,303130.95,,301621.48,,298796.16,
Australia,All,Reexports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,65,,0,...,1272,,296,,406,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Austria,All,Exports,Tonnes – net product weight,TPW,579,,433,,364,,492,,332,,600,,943,,1230,,945,,616,,847,,538,,540,,561,,648,,627,,1445,,1199,,1511,,4561,,4076,,4039,,2966,,5451,,4651,,4119,,7480,,10055,,12344,,5872,,4339,,6242,,7051,,9056,,9606,,11666,,14945,,15918,,12699,,12039,,12440,,13785,,15418,,16103.94,,17242.49,,22141.17,
Austria,All,Imports,Tonnes – net product weight,TPW,67540,,58881,,60441,,68484,,65504,,60320,,62992,,62527,,61816,,63223,,66330,,68740,,64152,,66017,,69016,,65199,,69927,,67589,,74347,,62280,,59681,,64395,,63330,,63438,,55445,,57682,,56229,,63882,,70434,,71734,,70193,,78410,,75352,,73167,,76400,,81826,,82880,,87179,,84142,,83456,,84207,,84535,,85332,,87522.15,,82579.03,,91422.92,
Azerbaijan,All,Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1597,E,183,E,1016,,1954,,1840,,5807.6,,4592.6,,1792.4,,610.1,,568,,2590.11,,3113,,538,,856,,517,,493,,246,,270,,0,...,32,,0,...,0,N,110,E,188,,516,,565.72,,779.16,,662.92,
Azerbaijan,All,Imports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,608,E,176,E,726,,868,,1960,,1209,,2828,,2347,,3940,,4229,,5102,,6997.25,,7513.25,,7900.4,,11160,,11723,,12544.26,,13898,,15176,,18048,,12295.68,E,9019.31,E,15040.84,,22502.98,E,13838.86,,15339.01,,14346.2,,16123.31,
Bahamas,All,Exports,Tonnes – net product weight,TPW,701,,849,,698,,752,,924,,1006,,1036,,1123,,1095,,1366,,1726,,1370,,1848,,1438,,2220,E,2502,,2560,,2786,,2904,,2551,,2878,,2600,,2737,,3092,,3930,,2734,,2810,,3604,,2785,,2310,,2649,,2330,,2475,,2800,,2493,,2653,,2696,,3244,,2409,,2639,,1535.3,,2645.98,E,2610.83,E,2399.96,E,1955.59,E,2547.83,E
Bahamas,All,Imports,Tonnes – net product weight,TPW,708,,503,,503,E,307,E,1549,,724,,1042,,950,,1011,,1323,,1177,,1400,E,1251,,1533,,1652,,1842,,1924,,2140,,2092,,2077,,2035,E,2405,,2985,,3084,,4381,,4096,,3621,,3712,,3356,,3539,,3937,,4017,,4492,,3660,,3170,,3948,,4297,,3974,,4201,,4174.75,,4630.2,,4021.29,E,6053.89,E,4390.55,E,3422.55,E,3459.97,E
Bahamas,All,Reexports,Tonnes – net product weight,TPW,6,,0,...,0,...,0,...,0,...,23,,3,,0,...,0,...,0,...,3,,27,,71,,0,...,0,...,47,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,0,N,0,N,8,,1,,2,,9,,14,,71,,0,N,2,,0,N,0,N,1,,0,...,3,,0,...,0,...,0,...,0,...,0,...,0,...
Bahrain,All,Exports,Tonnes – net product weight,TPW,1253,,769,,245,,0,...,11,,7,,1,,0,N,0,N,0,...,365,,788,,581,,962,E,1395,,2301,,1851,,2317,,2856,,3557,,5716,,6073,,5880,,4749,,4726,,5966,,7009,,7177,,8415,,7036,,7858,,9342,,8076,,8537,,6615,,9232,,10525,,10420,,8588,,10064,,9657,,13139,,24310,,31123.13,,22177.78,,15776.66,
Bahrain,All,Imports,Tonnes – net product weight,TPW,709,,1328,,664,,396,,750,,1417,,878,,1371,,1511,,1820,,1568,,1638,,1290,,1633,E,1448,,1916,,1921,,2415,,2468,,3301,,2043,,2164,,2052,,1832,,3144,,3573,,4235,,3364,,3367,,5357,,4798,,4637,,7910,,8136,,7220,,9325,,10453,,10094,,14138,,13582,,14889,,19089,,30354,,36167.09,,31256.16,,19534,
