Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S
Antigua and Barbuda,All,Reexports,Value (USD 1000),USD (1000),0,...,6,,6,,0,...,24,,39,,0,...,0,...,5,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,47,,26,,0,...,0,...,0,...,0,...,4,,0,...,68,,0,...,0,N,1,,9,,3,,3,,28,,13,,4,,10,,11,,20.57,,4.3,E,0,...
Argentina,All,Exports,Value (USD 1000),USD (1000),40425,,86441,,154079,,205524,,143285,,139352,,190588,,168152,,157729,,149922,,216632,,262794,,266775,,280900,,315938,,448355,,484405,,635997,,727902,,909703,,1014563,,887827,,889668,,783657,,806452,,890669,,714014,,885182,,818199,,804356,,1249411,,1104465,,1298552,,1124932,,1338067,,1471838,,1327026,,1495292,,1586903,,1466760,,1701084,,1978786,,2082262,,1783052.36,,1649099.09,,1894190.69,
Argentina,All,Imports,Value (USD 1000),USD (1000),1130,,6867,,10045,,21360,,23907,,25900,,13907,,7668,,9464,,8077,E,10780,E,21562,,13438,,11998,,6159,,18763,,48355,,45062,,67924,,71519,,73607,,91281,,88585,,90385,,86208,,78441,,15280,,29923,,47636,,63546,,78795,,102513,,103005,,99885,,127136,,163792,,179218,,195582,,159523,,176131,,188283,,221527,,229133,,164884.79,,158600.57,,219790.85,
Armenia,All,Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,324,,4,E,18,,254,E,495,,95,,158,,1707,,3171,,2935,,3180,,4559,,4683,,5403,,3539,,7695,,16197,,22493,,33612,,31472,,14962,,12551,,21734,,28125,,31271.48,,54411.7,,67650.91,
Armenia,All,Imports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,555,E,1667,,482,,693,,1099,E,2284,,4120,,3035,,3609,,2074,,2757,,4368,,3836,,4289,,9170,,8142,,6128,,9073,,9507,,9189,,9469,,6920,,6312,,9330,,8413,,10797.67,,11057.12,,21628.38,
Armenia,All,Reexports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,21,,20,,0,...,1,,5,,87,,7,,15,,46,,0,...,0,...,64,,81,,0,...,0,...,0,...,0,...,0,...,3.19,,0,...,0,...
Aruba,All,Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,17,,135,E,281,,853,,123,,65,,84,,33,,35,E,15,E,20,E,0,...,0,...,599,E,0,...,873,,246,,358,,777,,435,,1017,,251,,70,,82,,23,,16,,17,,1,,3,,63,,69,E,86,E,382,,455,,149,,112.24,,1.1,,8.52,
Aruba,All,Imports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,3548,,4090,E,4175,,4467,,4574,,5426,,5629,,6644,,6243,E,8512,E,10655,E,16233,,17042,,17450,,18499,,14678,,9926,,9640,,10262,,11546,,12828,,12190,,13074,,14164,,14888,,15066,,15882,,16948,,19130,,19163,,21550,,23487,,24932,,26819,,26762,,26058.63,,14733.91,,22365.32,
Australia,All,Exports,Value (USD 1000),USD (1000),102284,,155166,,169291,,222431,,277143,,268866,,317237,,325382,,352239,,285899,,328212,,418415,,569784,,473457,,539993,,579940,,620373,,656234,,802653,,863952,,834245,,907489,,755309,,899632,,1006114,,904212,,901954,,897654,,921956,,945528,,939899,,947855,,956165,,829684,,952236,,1008875,,1008236,,1008367,,1113559,,1078156,,1049644,,1112029,,1120939,,1089841.43,,862882.69,,926858.87,
Australia,All,Imports,Value (USD 1000),USD (1000),93913,,131899,,139403,,145385,,185039,,226840,,242554,,210501,,244313,,245263,,238140,,286346,,304853,,372673,,349870,,365810,,387034,,369564,,462382,,426015,,501012,,524759,,515866,,530405,,563482,,557234,,595545,,666656,,730745,,862087,,933322,,1108788,,1138876,,1090054,,1275267,,1506418,,1600464,,1667802,,1772824,,1470383,,1511061,,1665603,,1632407,,1547511.73,,1452170.93,,1559619.4,
